,0
412,ask
413,asks
414,asked
415,asking
416,late
417,lately
418,later
419,home
420,homecoming
421,homemade
422,homework
423,homes
424,homely
425,interest
426,interesting
427,large
428,largely
429,person
430,personal
431,personally
432,end
433,ending
434,endless
435,open
436,opens
437,opened
438,opening
439,openly
440,public
441,publicly
442,follow
443,follows
444,followed
445,following
446,during
447,present
448,presence
449,presents
450,presented
451,presenting
452,without
454,within
455,again
456,hold
457,holds
458,held
459,holding
460,holder
461,govern
462,governor
463,governs
464,governed
465,governing
466,government
467,governments
468,around
469,possible
470,impossible
471,possibly
472,possibility
473,head
474,headache
475,headdress
476,heads
477,headed
478,heading
479,consider
480,considers
481,considered
482,considering
483,word
484,words
485,programme
486,programmes
487,problem
488,problems
491,lead
492,leadership
493,leads
494,led
495,leading
496,leader
497,leaders
498,system
499,systems
500,systematic
501,systematically
502,set
503,sets
504,setting
505,order
506,orders
507,orderly
508,eye
509,eyes
510,eyeing
511,eyed
512,plan
513,plans
514,planned
515,planning
516,run
517,runs
518,ran
519,running
520,runner
521,keep
522,keeps
523,kept
524,keeping
525,keeper
526,face
527,faces
528,fact
529,facts
530,group
531,groups
532,play
533,plays
534,played
535,playing
536,player
537,playground
538,plaything
539,stand
540,stands
541,standing
542,stood
543,increase
544,increases
545,increased
546,increasing
547,early
548,earliness
549,course
550,change
551,changes
552,changed
553,changing
554,help
555,helps
556,helped
557,helper
558,helpful
559,helpless
560,line
561,lines
562,city
563,citizen
564,cities
565,put
566,puts
567,putting
568,close
569,closes
570,closing
571,closed
572,case
573,cases
574,force
575,forces
576,forcing
577,forced
578,meet
579,meets
580,met
581,meeting
582,once
583,water
584,watercourse
585,waterfall
586,waterpipe
587,waterproof
588,waterway
589,waterworks
590,watery
591,upon
592,war
593,wars
594,build
595,builds
596,built
597,building
598,hear
599,hears
600,hearing
601,heard
602,hearer
603,light
604,lighten
605,lights
606,lighter
607,lightly
608,lightness
609,unite
610,union
611,unit
612,unity
613,unites
614,united
615,uniting
618,lived
619,living
620,every
621,everybody
622,everyday
623,everyone
624,everything
625,everywhere
626,country
627,countries
628,bring
629,brings
630,bringing
631,brought
632,centre
633,centres
634,center
635,let
636,side
637,sides
638,sideways
639,try
640,trial
641,tries
642,tried
643,trying
644,provide
645,provides
646,provided
647,providing
648,continue
649,continues
650,continued
651,continuing
652,continuous
653,continuously
654,name
655,names
656,nameless
657,namely
658,certain
659,certainty
660,certainly
661,power
662,powerful
663,pay
664,pays
665,paying
666,paid
667,unpaid
668,payment
669,result
670,results
671,question
672,questions
673,study
674,student
675,studies
676,studying
677,studied
678,woman
679,women
680,member
681,membership
682,members
683,until
684,till
685,far
686,faraway
687,farther
688,farthest
689,night
690,tonight
691,nights
692,goodnight
693,always
694,service
695,servant
696,serve
697,services
698,servicing
699,serviced
700,away
701,report
702,reports
703,reported
704,reporting
705,reporter
706,something
707,company
708,companies
709,week
710,weekday
711,weekend
712,weeks
713,weekly
714,church
715,toward
716,towards
717,start
718,starts
719,started
720,starting
721,social
722,society
723,socially
724,room
725,rooms
726,figure
727,figures
728,nature
729,natural
730,naturally
731,though
732,although
733,young
734,youngster
735,less
736,lessen
737,enough
738,almost
739,read
740,reads
741,reading
742,reader
743,include
744,inclusive
745,includes
746,included
747,including
748,president
749,presidents
750,nothing
751,yet
752,better
753,big
754,boy
755,boys
756,cost
757,costs
758,business
759,businesslike
760,businessman
761,businesses
762,value
763,valuable
764,values
765,valueless
766,second
767,seconds
768,secondhand
769,secondly
770,why
771,clear
772,clears
773,cleared
774,clearing
775,clearly
776,clearness
777,expect
778,expects
779,expected
780,expecting
781,expectation
782,family
783,families
784,complete
785,completion
786,completes
787,completed
788,completing
789,act
790,action
791,active
792,acts
793,acted
794,acting
795,activity
796,activities
797,sense
798,sensitive
799,senses
800,senseless
801,insensible
802,sensation
803,sensible
804,sensibly
805,mind
806,minds
807,minded
808,minding
809,experience
810,experiences
811,experienced
812,art
813,artist
814,artists
815,artistic
816,next
817,near
818,nearly
819,direct
820,direction
821,director
822,directs
823,directed
824,directing
825,directly
826,car
827,cars
828,law
829,laws
830,lawful
831,unlawful
832,lawfully
833,unlawfully
834,lawless
835,industry
836,industries
837,industrial
838,important
839,importance
840,girl
841,girls
842,god
843,gods
844,goddess
845,godfather
846,godmother
847,several
848,matter
849,matters
850,usual
851,usually
852,rather
853,per
854,often
855,kind
856,unkind
857,kindly
858,kindness
859,among
860,amongst
861,white
862,whiten
863,reason
864,reasonable
865,reasons
869,actions
870,return
871,returns
872,returned
873,returning
874,foot
875,feet
876,football
877,foothold
878,footpath
879,footprint
880,footstep
881,footnote
882,care
883,cares
884,cared
885,caring
886,careful
887,careless
888,simple
889,simplicity
890,simply
894,love
895,lovely
896,loves
897,loved
898,lovable
899,lover
900,loving
901,lovingly
902,human
903,humans
904,along
905,appear
906,appearance
907,disappear
908,appears
909,appeared
910,appearing
911,doctor
912,doctors
913,believe
914,belief
915,believes
916,believed
917,believing
918,speak
919,speech
920,speaks
921,speaker
925,actively
928,students
929,month
930,months
931,monthly
932,drive
933,drives
934,drove
935,driven
936,concern
937,concerns
938,concerned
939,concerning
940,best
941,door
942,doors
943,hope
944,hopes
945,hoped
946,hopeful
947,hopeless
948,example
949,examples
950,inform
951,informs
952,informed
953,informing
954,information
955,body
956,bodies
957,bodily
958,bodyguard
959,ever
960,everlasting
961,least
962,probable
963,probably
964,probability
965,understand
966,understands
967,understood
968,understanding
969,reach
970,reaches
971,reached
972,reaching
973,effect
974,effective
975,effects
976,different
977,difference
978,differently
979,idea
980,ideas
981,whole
982,wholly
983,control
984,controls
985,controlled
986,controlling
987,condition
988,conditions
989,field
990,fields
991,pass
992,past
993,passes
994,passed
995,passing
996,fall
997,falls
998,fell
999,fallen
1000,note
1001,notebook
1002,notes
1003,noted
1004,notepaper
1005,special
1006,specially
1007,talk
1008,talked
1009,talking
1010,talks
1011,particular
1012,particularly
1013,today
1014,measure
1015,measures
1016,measured
1017,measuring
1018,measurement
1019,measurements
1020,walk
1021,walks
1022,walked
1023,walking
1024,teach
1025,teaches
1026,taught
1027,teaching
1028,teachings
1029,teacher
1030,low
1031,lower
1032,lowland
1033,hour
1034,hours
1035,hourly
1036,type
1037,types
1038,typed
1039,typing
1040,typewriter
1041,typewrite
1042,typist
1043,carry
1044,carries
1045,carrying
1046,carried
1047,rate
1048,rates
1049,remain
1050,remains
1051,remained
1052,remaining
1053,full
1054,street
1055,streets
1056,easy
1057,easily
1060,record
1061,records
1062,recorded
1063,recording
1064,sit
1065,sits
1066,sat
1067,sitting
1068,determine
1069,determines
1070,determining
1071,determined
1072,determination
1073,level
1074,levels
1075,local
1076,locally
1077,sure
1078,surely
1079,receive
1080,receipt
1081,receives
1082,received
1083,receiving
1084,receiver
1085,thus
1086,moment
1087,momentary
1088,moments
1089,spirit
1090,spirits
1091,train
1092,trains
1093,trained
1094,training
1095,college
1096,colleges
1097,religion
1098,religions
1099,religious
1100,perhaps
1101,music
1102,musician
1103,musical
1104,musicals
1105,grow
1106,growth
1107,grows
1108,growing
1109,grown
1110,free
1111,freedom
1112,frees
1113,freed
1114,freeing
1115,freely
1116,cause
1117,causes
1118,caused
1119,causing
1123,serves
1124,served
1125,serving
1126,age
1127,ages
1128,book
1129,books
1130,board
1131,boards
1132,recent
1133,recently
1134,sound
1135,sounds
1136,office
1137,officer
1138,official
1139,offices
1140,cut
1141,cuts
1142,cutting
1143,step
1144,steps
1145,class
1146,classification
1147,classify
1148,TRUE
1149,truth
1150,truly
1151,history
1152,position
1153,positions
1154,above
1155,strong
1156,strength
1157,strengthen
1158,strongly
1159,friend
1160,friendly
1161,friendship
1162,friends
1166,necessarily
1167,unnecessary
1168,add
1169,adds
1170,adding
1171,added
1172,court
1173,courts
1174,courtyard
1175,deal
1176,deals
1177,dealt
1178,dealer
1179,dealing
1180,dealings
1181,tax
1182,taxes
1183,taxed
1184,taxing
1185,support
1186,supports
1187,supporting
1188,supported
1189,party
1190,parties
1191,whether
1192,either
1193,land
1194,landlord
1195,lands
1196,landed
1197,landing
1198,material
1199,materials
1200,happen
1201,happens
1202,happened
1203,happening
1204,education
1205,educate
1206,educator
1207,educational
1208,death
1209,dead
1210,deaths
1211,deathbed
1212,agree
1213,disagree
1214,agrees
1215,agreed
1216,agreeing
1217,agreement
1218,arm
1219,arms
1220,armour
1221,unarmed
1222,mother
1223,motherhood
1224,motherly
1225,mothers
1226,across
1227,quite
1228,anything
1229,town
1230,towns
1233,view
1234,views
1237,societies
1238,manage
1239,manages
1240,managed
1241,managing
1242,management
1243,manager
1244,answer
1245,answers
1246,answering
1247,answered
1248,break
1249,breaks
1250,broke
1251,breaking
1252,breakage
1253,organise
1254,organises
1255,organising
1256,organised
1257,organisation
1258,organizes
1259,organized
1260,organizing
1261,organization
1262,half
1263,halve
1264,fire
1265,fires
1266,firing
1267,lose
1268,loss
1269,loses
1270,losing
1271,lost
1272,money
1273,stop
1274,stops
1275,stopped
1276,stopping
1277,stoppage
1278,stopper
1279,actual
1280,actually
1281,already
1282,effort
1283,wait
1284,waiter
1285,waits
1286,waited
1287,waiting
1288,department
1289,departments
1290,able
1291,ability
1292,political
1293,politician
1294,politics
1295,politically
1296,learn
1297,learns
1298,learned
1299,learning
1300,voice
1301,voices
1302,air
1303,together
1306,cover
1307,covers
1308,covered
1309,covering
1310,common
1311,commonly
1312,uncommon
1313,commonsense
1314,subject
1315,subjects
1316,draw
1317,draws
1318,short
1319,shorten
1320,shortly
1321,shortness
1322,wife
1323,wives
1324,treat
1325,treats
1326,treated
1327,treating
1328,limit
1329,limits
1330,limitation
1331,road
1332,roads
1333,roadside
1334,letter
1335,letters
1336,colour
1337,colours
1338,colouring
1339,color
1340,colors
1341,coloring
1342,behind
1343,produce
1344,product
1345,production
1346,produces
1347,produced
1348,producing
1349,send
1350,sends
1351,sent
1352,sending
1353,term
1354,terms
1355,total
1356,totals
1357,totally
1358,university
1359,universities
1360,rise
1361,rises
1362,rose
1363,risen
1364,rising
1365,century
1366,centuries
1367,success
1368,succeed
1369,successes
1370,minute
1371,minutes
1372,remember
1373,remembers
1374,remembered
1375,remembering
1376,purpose
1377,purposes
1378,test
1379,testing
1380,tests
1381,tested
1382,fight
1383,fights
1384,fighter
1385,watch
1386,watches
1387,watched
1388,watching
1389,watchful
1390,watchfulness
1391,situation
1392,situations
1393,south
1394,southeast
1395,southeastern
1396,southern
1397,southward
1398,southwest
1399,southwestern
1400,ago
1403,differences
1404,stage
1405,stages
1406,father
1407,fathers
1408,table
1409,tables
1410,rest
1411,rests
1412,rested
1413,resting
1414,bear
1415,bears
1416,bearing
1417,entire
1418,entirely
1419,market
1420,markets
1421,prepare
1422,prepares
1423,prepared
1424,preparing
1425,preparation
1426,explain
1427,explains
1428,explained
1429,explaining
1430,explanation
1431,offer
1432,offers
1433,offering
1434,offered
1435,plant
1436,plants
1437,planter
1438,charge
1439,charges
1440,charged
1441,charging
1442,ground
1443,grounds
1444,groundwork
1445,west
1446,western
1447,picture
1448,pictures
1449,hard
1450,harden
1451,hardness
1452,front
1453,lie
1454,liar
1455,lies
1456,lied
1457,lying
1458,modern
1459,modernise
1460,dark
1461,darken
1462,darkness
1463,surface
1464,surfaces
1465,rule
1466,ruled
1467,rules
1468,ruling
1469,regard
1470,disregard
1471,regards
1472,regarded
1473,regarding
1474,regardless
1475,dance
1476,dances
1477,danced
1478,dancing
1479,peace
1480,peaceful
1481,observe
1482,observes
1483,observed
1484,observing
1485,future
1486,wall
1487,walls
1488,farm
1489,farms
1490,claim
1491,claims
1492,claimed
1493,claiming
1494,firm
1495,firmly
1496,firmness
1497,operation
1498,operate
1499,operator
1500,operations
1501,further
1502,pressure
1503,press
1504,pressures
1505,pressured
1506,pressuring
1507,property
1508,morning
1509,mornings
1510,amount
1511,top
1516,piece
1517,pieces
1518,sometimes
1519,beauty
1520,beautiful
1521,beautifully
1522,trade
1523,trades
1524,trading
1525,trader
1526,tradesman
1527,fear
1528,fears
1529,feared
1530,fearful
1531,fearless
1532,demand
1533,demands
1534,demanded
1535,demanding
1536,wonder
1537,wonders
1538,wondered
1539,wondering
1540,wonderful
1541,wonderfully
1542,list
1543,lists
1544,accept
1545,accepts
1546,accepted
1547,accepting
1548,judge
1549,judges
1550,judgment
1551,paint
1552,paints
1553,painted
1554,painter
1555,painters
1556,mile
1557,miles
1558,mileage
1559,milestone
1560,soon
1561,sooner
1562,responsible
1563,responsibility
1564,allow
1565,allowance
1566,allows
1567,allowed
1568,allowing
1569,secretary
1570,secretaries
1571,heart
1572,hearts
1577,unions
1578,slow
1579,slowly
1580,slowness
1581,island
1582,islands
1583,enter
1584,entrance
1585,enters
1586,entered
1587,entering
1588,drink
1589,drinks
1590,drunk
1591,drank
1592,drinking
1593,story
1594,stories
1595,experiment
1596,experiments
1597,experimental
1598,experimentally
1599,stay
1600,stays
1601,stayed
1602,staying
1603,paper
1604,space
1605,spaced
1606,spacing
1607,spaces
1608,apply
1609,application
1610,applies
1611,applied
1612,applying
1613,decide
1614,decision
1615,decisive
1616,decides
1617,deciding
1618,decided
1619,decidedly
1620,share
1621,shares
1622,shared
1623,sharing
1624,desire
1625,desires
1626,desiring
1627,desired
1628,spend
1629,spends
1630,spent
1631,spending
1632,sign
1633,signal
1634,signature
1635,signs
1636,therefore
1637,various
1638,variety
1639,variously
1640,visit
1641,visitor
1642,visits
1643,visiting
1644,supply
1645,supplies
1646,supplying
1647,supplied
1651,officers
1652,doubt
1653,doubts
1654,doubted
1655,doubting
1656,doubtful
1657,doubtless
1658,private
1659,immediate
1660,immediately
1661,wish
1662,wishes
1663,wished
1664,wishing
1665,contain
1666,contains
1667,contained
1668,containing
1669,container
1670,feed
1671,feeds
1672,fed
1673,feeding
1674,raise
1675,raises
1676,raised
1677,raising
1678,describe
1679,description
1680,described
1681,describes
1682,describing
1683,ready
1684,horse
1685,horses
1686,horseback
1687,horseman
1688,horseshoe
1689,son
1690,sons
1691,exist
1692,existence
1693,exists
1694,existed
1695,existing
1696,north
1697,northern
1698,northeast
1699,northwest
1700,northwards
1701,suggest
1702,suggestion
1703,suggests
1704,suggested
1705,suggesting
1706,station
1707,stations
1710,effectively
1711,food
1712,deep
1713,deepen
1714,depth
1715,deeply
1716,wide
1717,widen
1718,width
1719,alone
1720,character
1721,characters
1722,english
1723,happy
1724,happily
1725,critic
1726,critics
1727,critical
1732,units
1736,products
1737,respect
1738,disrespect
1739,respects
1740,respected
1741,respecting
1742,respectful
1743,drop
1744,drops
1745,dropped
1746,dropping
1747,nor
1748,fill
1749,fills
1750,filled
1751,filling
1752,cold
1753,coldly
1754,coldness
1755,represent
1756,representative
1757,represents
1758,represented
1759,representing
1760,sudden
1761,suddenly
1762,basic
1763,base
1764,basis
1765,kill
1766,kills
1767,killed
1768,killing
1769,fine
1770,finely
1771,fineness
1772,trouble
1773,troubles
1774,troubled
1775,troublesome
1776,mark
1777,marks
1778,marked
1779,marking
1780,single
1781,singly
1784,heavy
1785,heavily
1786,attempt
1787,attempts
1788,origin
1789,original
1790,originality
1791,originally
1792,standard
1793,standards
1794,standardise
1801,committee
1802,committees
1803,moral
1804,immoral
1805,immorality
1806,morality
1807,morally
1808,black
1809,red
1810,redden
1811,bad
1812,badly
1813,badness
1814,earth
1815,earthly
1816,earthworm
1817,earthy
1818,accord
1819,else
1820,elsewhere
1821,mere
1822,merely
1823,die
1824,dies
1825,died
1826,dying
1827,remark
1828,remarks
1829,remarked
1830,remarking
1834,except
1835,exception
1836,excepting
1837,equal
1838,equally
1839,equality
1840,east
1841,event
1842,eventful
1843,uneventful
1844,employ
1845,employee
1846,employs
1847,employing
1848,employed
1849,unemployed
1850,employer
1851,employers
1852,employment
1853,defence
1854,defend
1855,defendant
1856,defense
1857,smile
1858,smiles
1859,smiled
1860,smiling
1861,river
1862,rivers
1863,improve
1864,improves
1865,improved
1866,improving
1867,improvement
1868,improvements
1869,game
1870,games
1871,detail
1872,details
1873,detailed
1874,account
1875,accounts
1876,accounted
1877,accounting
1878,cent
1879,cents
1880,sort
1881,reduce
1882,reduction
1883,reduces
1884,reduced
1885,reducing
1886,club
1887,clubs
1888,buy
1889,buys
1890,buying
1891,bought
1892,attention
1893,attend
1894,attentive
1895,ship
1896,ships
1897,shipbuilding
1898,shipment
1899,shipper
1900,shipwreck
1904,decisions
1905,wear
1906,wears
1907,wore
1908,worn
1909,inside
1910,win
1911,wins
1912,won
1913,winning
1914,suppose
1915,ride
1916,rides
1917,riding
1918,rode
1922,operates
1923,operated
1924,operating
1927,realises
1928,realised
1929,realising
1930,realisation
1931,realize
1932,realizes
1933,realized
1934,realizing
1935,realization
1936,sale
1937,salesman
1938,sales
1939,choose
1940,choice
1941,chooses
1942,chose
1943,chosen
1944,choosing
1945,park
1946,parks
1947,square
1948,vote
1949,votes
1950,voted
1951,voting
1952,voter
1953,price
1954,prices
1955,district
1956,districts
1959,foreign
1960,foreigner
1961,window
1962,windows
1963,beyond
1967,directions
1968,strike
1969,strikes
1970,struck
1971,striking
1972,instead
1975,trials
1976,practice
1977,practical
1978,practise
1979,practises
1980,practised
1981,practising
1982,catch
1983,catches
1984,opportunity
1985,opportunities
1988,unlikely
1989,recognise
1990,recognition
1991,recognises
1992,recognised
1993,recognising
1994,recognize
1995,recognizing
1996,recognized
1997,permit
1998,permission
1999,permits
2000,permitted
2001,permitting
2002,serious
2003,seriously
2004,attack
2005,attacks
2006,floor
2007,floors
2008,association
2009,associations
2010,spring
2011,springs
2012,sprang
2013,sprung
2014,lot
2015,stock
2016,stocks
2017,lack
2018,lacks
2019,lacked
2020,lacking
2021,hair
2022,science
2023,scientific
2024,scientist
2025,sciences
2026,relation
2027,relate
2028,relative
2029,relations
2030,profession
2031,professions
2032,professional
2033,pattern
2034,patterns
2035,quick
2036,quickly
2037,quickness
2038,medical
2039,medicine
2040,medicals
2041,medically
2042,influence
2043,influential
2044,influences
2045,influenced
2046,influencing
2047,occasion
2048,occasions
2049,occasional
2050,occasionally
2051,machine
2052,machinery
2053,machines
2054,compare
2055,comparison
2056,compares
2057,compared
2058,comparing
2059,husband
2060,blue
2063,fair
2064,unfair
2065,fairly
2066,unfairly
2067,especially
2068,especial
2069,indeed
2070,imagine
2071,imaginary
2072,imaginative
2073,imagines
2074,imagined
2075,imagining
2076,imagination
2077,surprise
2078,surprises
2079,surprising
2080,surprisingly
2081,average
2085,officials
2086,officially
2087,temperature
2088,difficult
2089,difficulty
2090,sing
2091,song
2092,sings
2093,sang
2094,sung
2095,singer
2096,singers
2097,hit
2098,hits
2099,tree
2100,trees
2101,race
2102,races
2103,police
2104,policeman
2105,touch
2106,touches
2107,touched
2108,touching
2112,relatives
2113,throw
2114,throws
2115,thrown
2116,threw
2117,throwing
2118,quality
2119,qualities
2120,former
2121,formerly
2122,pull
2123,pulls
2124,pulled
2125,pulling
2126,chance
2127,chances
2128,prove
2129,proof
2130,proves
2131,proved
2132,proving
2133,argue
2134,argues
2135,argued
2136,arguing
2137,argument
2138,arguments
2139,settle
2140,settled
2141,settles
2142,settling
2143,settlement
2144,settler
2147,growths
2148,date
2149,dates
2150,heat
2151,heating
2152,save
2153,safe
2154,safety
2155,saves
2156,saving
2157,saved
2158,performance
2159,perform
2160,performances
2161,count
2162,counts
2163,counting
2164,counted
2168,listen
2169,listened
2170,listens
2171,listening
2172,listener
2173,main
2174,mainly
2175,mainland
2176,pick
2177,picked
2178,picks
2179,picking
2180,peck
2181,size
2182,sizes
2183,cool
2184,coolly
2185,coolness
2186,army
2187,armies
2188,patient
2189,patience
2190,patients
2191,patiently
2192,combine
2193,combines
2194,combining
2195,combined
2196,combination
2197,summer
2198,hall
2199,halls
2200,slight
2201,slightly
2202,command
2203,commands
2204,enjoy
2205,enjoys
2206,enjoyed
2207,enjoying
2208,enjoyable
2209,enjoyment
2210,length
2211,lengthen
2212,proper
2213,properly
2214,improper
2215,improperly
2216,express
2217,expression
2218,expresses
2219,expressed
2220,expressing
2221,health
2222,heal
2223,healthy
2224,chief
2225,chiefly
2226,evening
2227,store
2228,stores
2229,stored
2230,storing
2231,language
2232,languages
2233,degree
2234,degrees
2235,lay
2236,lays
2237,laid
2238,current
2239,currents
2240,gun
2241,guns
2242,gunboat
2243,gunner
2244,gunpowder
2245,dog
2246,dogs
2247,hotel
2248,hotels
2249,strange
2250,strangely
2251,strangeness
2252,stranger
2253,separate
2254,separation
2255,separately
2256,boat
2257,boats
2258,fail
2259,failure
2260,fails
2261,failed
2262,failing
2263,clean
2264,cleanly
2265,cleanness
2266,dress
2267,dresses
2268,anyone
2269,gain
2270,gains
2271,gained
2272,gaining
2273,pain
2274,pains
2275,painful
2276,painfully
2277,object
2278,objection
2279,objects
2280,objected
2281,objecting
2284,depend
2285,dependence
2286,dependent
2287,depends
2288,depended
2289,depending
2290,dependant
2294,relates
2295,related
2296,relating
2297,below
2298,dollar
2299,dollars
2300,advance
2301,advanced
2302,shape
2303,shapes
2304,shaped
2305,shaping
2306,shapeless
2307,arrange
2308,arranges
2309,arranged
2310,arranging
2311,arrangement
2312,arrangements
2313,population
2314,yes
2315,sell
2316,sells
2317,sold
2318,selling
2319,seller
2320,mention
2321,mentioned
2322,mentions
2323,mentioning
2324,dry
2325,dryly
2326,dryness
2327,check
2328,checks
2329,checked
2330,checking
2331,poet
2332,poets
2333,poetry
2334,poetic
2335,sleep
2336,sleeps
2337,slept
2338,sleeping
2339,sleepless
2340,sleepiness
2341,join
2342,joint
2343,joins
2344,joined
2345,hot
2346,hotly
2347,bed
2348,bedroom
2349,beds
2350,bedding
2351,electric
2352,electrician
2353,electricity
2354,dream
2355,dreams
2356,dreamy
2357,due
2358,season
2359,seasons
2360,manner
2361,manners
2362,fit
2363,fits
2364,fitting
2365,fitness
2366,left
2367,progress
2368,progresses
2369,progressed
2370,neither
2374,notice
2375,notices
2376,noticed
2377,noticing
2378,noticeable
2379,finish
2380,finishes
2381,finished
2382,finishing
2383,opinion
2384,opinions
2385,bill
2386,bills
2389,westerns
2392,truthful
2393,truthfulness
2394,wrong
2395,wrongly
2396,travel
2397,travels
2398,travelled
2399,travelling
2400,suit
2401,suits
2402,suited
2403,bank
2404,banks
2405,exact
2406,exactly
2407,honour
2408,honourable
2409,dishonour
2410,dishonourable
2411,brother
2412,brothers
2413,quiet
2414,quieten
2415,quietly
2416,quietness
2417,marry
2418,marriage
2419,marries
2420,marrying
2421,married
2422,corner
2423,corners
2429,handles
2430,danger
2431,dangerous
2432,hospital
2433,hospitals
2434,pool
2435,pools
2436,promise
2437,promised
2438,blood
2439,bleed
2440,shoot
2441,shot
2442,shoots
2443,shooting
2444,scene
2445,scenery
2446,scenes
2447,literature
2448,literary
2449,arrive
2450,arrived
2451,arrives
2452,arriving
2453,arrival
2454,film
2455,films
2459,bases
2460,based
2461,basing
2464,bar
2465,bars
2466,maybe
2467,hang
2468,hangs
2469,hanged
2470,hung
2471,hanging
2472,suffer
2473,suffers
2474,suffering
2475,sufferer
2476,manufacture
2477,manufactures
2478,frequent
2479,frequency
2480,rock
2481,rocks
2482,rocked
2483,rocking
2486,losses
2487,burn
2488,burns
2489,burned
2490,burnt
2491,burning
2492,sun
2493,suns
2494,sunbeam
2495,sunburnt
2496,sunlight
2497,sunny
2498,sunrise
2499,sunset
2500,sunshine
2501,audience
2502,audiences
2503,essential
2504,essence
2505,essentially
2506,glass
2507,glasses
2508,glassy
2509,prevent
2510,prevention
2511,prevents
2512,preventing
2513,preventive
2514,poem
2515,poems
2516,poor
2517,poverty
2518,inch
2519,inches
2522,songs
2523,skill
2524,skills
2525,skilled
2526,skilful
2527,skilfully
2528,post
2529,postage
2530,postal
2531,postman
2532,postmaster
2533,popular
2534,popularly
2535,popularity
2536,radio
2537,radios
2538,animal
2539,animals
2540,conscious
2541,consciousness
2542,unconscious
2543,unconsciously
2544,unconsciousness
2545,worth
2546,worthless
2547,worthwhile
2548,eat
